YYYY-MM,"Total consumer credit owned and securitized, seasonally adjusted level",Interest Rate,Elections (yes/no),Inflation Rate,Unemployment Rate,Motor Vehicle Loans Owned and Securitized,Motor Vehicle Loans Owned and Securitized %,Credit Cards and Other Revolving Plans,Credit Cards and Other Revolving Plans %,Student loans,Student loans %,Mortgages,Mortgages %,Other
2000-06,1609548000000,6.08,1,3.70,4.00,546785000000,34.00,211498000000,13.00,0,0.00,0,0.00,851265000000
2000-07,1629751000000,6.07,1,3.70,4.00,565916000000,35.00,212011000000,13.00,0,0.00,0,0.00,851824000000
2000-08,1651615000000,6.22,1,3.40,4.10,573508000000,35.00,212542000000,13.00,0,0.00,0,0.00,865565000000
2000-09,1669001000000,6.07,1,3.50,3.90,579545000000,35.00,220120000000,13.00,0,0.00,0,0.00,869336000000
2000-10,1684599000000,6.12,1,3.40,3.90,581221000000,35.00,220460000000,13.00,0,0.00,0,0.00,882918000000
2000-11,1700945000000,5.92,1,3.40,3.90,586861000000,35.00,219837000000,13.00,0,0.00,0,0.00,894247000000
2000-12,1716970000000,5.32,0,3.40,3.90,592390000000,35.00,223610000000,13.00,0,0.00,0,0.00,900970000000
2001-01,1729852000000,4.60,0,3.70,4.20,590387000000,34.00,232345000000,13.00,0,0.00,0,0.00,907120000000
2001-02,1748702000000,4.47,0,3.50,4.20,596821000000,34.00,227700000000,13.00,0,0.00,0,0.00,924181000000
2001-03,1760542000000,4.09,0,2.90,4.30,600862000000,34.00,227061000000,13.00,0,0.00,0,0.00,932619000000
2001-04,1773098000000,3.94,0,3.30,4.40,610164000000,34.00,228971000000,13.00,0,0.00,0,0.00,933963000000
2001-05,1781177000000,3.63,0,3.60,4.30,612944000000,34.00,234762000000,13.00,0,0.00,0,0.00,933471000000
2001-06,1792368000000,3.72,0,3.20,4.50,616795000000,34.00,234192000000,13.00,0,0.00,0,0.00,941381000000
2001-07,1797351000000,3.53,0,2.70,4.60,634388000000,35.00,230785000000,13.00,0,0.00,0,0.00,932178000000
2001-08,1806359000000,3.41,0,2.70,4.90,637567000000,35.00,231820000000,13.00,0,0.00,0,0.00,936972000000
2001-09,1814252000000,2.49,0,2.60,5.00,640353000000,35.00,233577000000,13.00,0,0.00,0,0.00,940322000000
2001-10,1829840000000,2.07,0,2.10,5.30,674204000000,37.00,230092000000,13.00,0,0.00,0,0.00,925544000000
2001-11,1857843000000,2.06,0,1.90,5.50,684522000000,37.00,236126000000,13.00,0,0.00,0,0.00,937195000000
2001-12,1867853000000,2.17,0,1.60,5.70,688210000000,37.00,239548000000,13.00,0,0.00,0,0.00,940095000000
2002-01,1867419000000,2.29,0,1.10,5.70,682285000000,37.00,241435000000,13.00,0,0.00,0,0.00,943699000000
2002-02,1881905000000,2.25,0,1.10,5.70,687578000000,37.00,242617000000,13.00,0,0.00,0,0.00,951710000000
2002-03,1894690000000,2.70,0,1.50,5.70,692249000000,37.00,240305000000,13.00,0,0.00,0,0.00,962136000000
2002-04,1903958000000,2.35,0,1.60,5.90,692424000000,36.00,240912000000,13.00,0,0.00,0,0.00,970622000000
2002-05,1914614000000,2.34,0,1.20,5.80,696299000000,36.00,245685000000,13.00,0,0.00,0,0.00,972630000000
2002-06,1927181000000,2.06,0,1.10,5.80,700870000000,36.00,240776000000,12.00,0,0.00,0,0.00,985535000000
2002-07,1939211000000,1.80,0,1.50,5.80,703210000000,36.00,237237000000,12.00,0,0.00,0,0.00,998764000000
2002-08,1947500000000,1.74,0,1.80,5.70,706215000000,36.00,244029000000,13.00,0,0.00,0,0.00,997256000000
2002-09,1950651000000,1.53,0,1.50,5.70,707358000000,36.00,254540000000,13.00,0,0.00,0,0.00,988753000000
2002-10,1957151000000,1.46,0,2.00,5.70,708794000000,36.00,254665000000,13.00,0,0.00,0,0.00,993692000000
2002-11,1965179000000,1.56,0,2.20,5.90,711701000000,36.00,251409000000,13.00,0,0.00,0,0.00,1002069000000
2002-12,1972112000000,1.32,0,2.40,6.00,714212000000,36.00,252252000000,13.00,0,0.00,0,0.00,1005648000000
2003-01,1982561000000,1.31,0,2.60,5.80,710089000000,36.00,253274000000,13.00,0,0.00,0,0.00,1019198000000
2003-02,1993406000000,1.24,0,3.00,5.90,713973000000,36.00,244359000000,12.00,0,0.00,0,0.00,1035074000000
2003-03,2001208000000,1.19,0,3.00,5.90,716768000000,36.00,246249000000,12.00,0,0.00,0,0.00,1038191000000
2003-04,2014100000000,1.22,0,2.20,6.00,726902000000,36.00,240913000000,12.00,0,0.00,0,0.00,1046285000000
2003-05,2027503000000,1.13,0,2.10,6.10,731739000000,36.00,245680000000,12.00,0,0.00,0,0.00,1050084000000
2003-06,2033268000000,1.09,0,2.10,6.30,733820000000,36.00,244658000000,12.00,0,0.00,0,0.00,1054790000000
2003-07,2040064000000,1.28,0,2.10,6.20,750351000000,37.00,244672000000,12.00,0,0.00,0,0.00,1045041000000
2003-08,2049124000000,1.35,0,2.20,6.10,753683000000,37.00,243804000000,12.00,0,0.00,0,0.00,1051637000000
2003-09,2057091000000,1.15,0,2.30,6.10,756614000000,37.00,244685000000,12.00,0,0.00,0,0.00,1055792000000
2003-10,2065495000000,1.31,0,2.00,6.00,759485000000,37.00,240652000000,12.00,0,0.00,0,0.00,1065358000000
2003-11,2066400000000,1.39,0,1.80,5.80,759818000000,37.00,267277000000,13.00,0,0.00,0,0.00,1039305000000
2003-12,2077361000000,1.26,0,1.90,5.70,763848000000,37.00,270650000000,13.00,0,0.00,0,0.00,1042863000000
2004-01,2088243000000,1.28,0,1.90,5.70,760294000000,36.00,284116000000,14.00,0,0.00,0,0.00,1043833000000
2004-02,2095340000000,1.21,0,1.70,5.60,762878000000,36.00,279266000000,13.00,0,0.00,0,0.00,1053196000000
2004-03,2109720000000,1.20,0,1.70,5.80,768114000000,36.00,278292000000,13.00,0,0.00,0,0.00,1063314000000
2004-04,2112716000000,1.55,0,2.30,5.60,768021000000,36.00,279647000000,13.00,0,0.00,0,0.00,1065048000000
2004-05,2120839000000,1.83,0,3.10,5.60,770974000000,36.00,281197000000,13.00,0,0.00,0,0.00,1068668000000
2004-06,2127989000000,2.09,1,3.30,5.60,773574000000,36.00,287189000000,13.00,0,0.00,0,0.00,1067226000000
2004-07,2137093000000,2.13,1,3.00,5.50,790243000000,37.00,286399000000,13.00,0,0.00,0,0.00,1060451000000
2004-08,2143435000000,1.99,1,2.70,5.40,792589000000,37.00,287457000000,13.00,0,0.00,0,0.00,1063389000000
2004-09,2160148000000,2.21,1,2.50,5.40,798769000000,37.00,292267000000,14.00,0,0.00,0,0.00,1069112000000
2004-10,2176719000000,2.28,1,3.20,5.50,797863000000,37.00,291483000000,13.00,0,0.00,0,0.00,1087373000000
2004-11,2183746000000,2.63,1,3.50,5.40,800439000000,37.00,291006000000,13.00,0,0.00,0,0.00,1092301000000
2004-12,2192246000000,2.75,0,3.30,5.40,803555000000,37.00,286795000000,13.00,0,0.00,0,0.00,1101896000000
2005-01,2196778000000,2.96,0,3.00,5.30,803803000000,37.00,308969000000,14.00,9819903391,0.45,237166549731,10.80,837019546878
2005-02,2211559000000,3.20,0,3.00,5.40,809212000000,37.00,297782000000,13.00,11009219506,0.50,247274310781,11.18,846281469713
2005-03,2220199000000,3.35,0,3.10,5.20,812373000000,37.00,301123000000,14.00,11867063974,0.53,253898403733,11.44,840937532293
2005-04,2232535000000,3.33,0,3.50,5.20,809581000000,36.00,299835000000,13.00,12419717185,0.56,243767628792,10.92,866931654023
2005-05,2232672000000,3.32,0,2.80,5.10,809630000000,36.00,299611000000,13.00,12958172814,0.58,253364896581,11.35,857107930605
2005-06,2247833000000,3.45,0,2.50,5.00,815128000000,36.00,298464000000,13.00,15297873266,0.68,271397839550,12.07,847545287184
2005-07,2257231000000,3.80,0,3.20,5.00,825211000000,37.00,300734000000,13.00,17199060694,0.76,315572225871,13.98,798514713435
2005-08,2267045000000,3.77,0,3.60,4.90,828798000000,37.00,301834000000,13.00,10970202756,0.48,308437176981,13.61,817005620263
2005-09,2271633000000,4.01,0,4.70,5.00,830476000000,37.00,300910000000,13.00,11184107376,0.49,299025815301,13.16,830037077323
2005-10,2276843000000,4.31,0,4.30,5.00,823097000000,36.00,294854000000,13.00,14422960647,0.63,282067351907,12.39,862401687446
2005-11,2283661000000,4.34,0,3.50,5.00,825562000000,36.00,299628000000,13.00,14633296231,0.64,262123458247,11.48,881714245522
2005-12,2290928000000,4.38,0,3.40,4.90,828189000000,36.00,298194000000,13.00,14412265121,0.63,230567222593,10.06,919565512286
2006-01,2367471000000,4.58,0,4.00,4.70,781943000000,33.00,303298000000,13.00,11809789061,0.50,225494358070,9.52,1044925852869
2006-02,2374977000000,4.73,0,3.60,4.80,784422000000,33.00,297657000000,13.00,13786339638,0.58,229705273160,9.67,1049406387202
2006-03,2385808000000,4.82,0,3.40,4.70,787999000000,33.00,293220000000,12.00,14690443380,0.62,236798555231,9.93,1053100001389
